Region;Quarter;Service item;Export, millions of euro;Import, millions of euro;code;item;Year
Foreign countries, total;2013Q1;G Goods;14752;14275;G;Goods;2013
Foreign countries, total;2013Q1;S Services;4450;5670;S;Services;2013
Foreign countries, total;2013Q2;G Goods;14796;13742;G;Goods;2013
Foreign countries, total;2013Q2;S Services;4470;5879;S;Services;2013
Foreign countries, total;2013Q3;G Goods;14426;14247;G;Goods;2013
Foreign countries, total;2013Q3;S Services;4944;5654;S;Services;2013
Foreign countries, total;2013Q4;G Goods;14611;13968;G;Goods;2013
Foreign countries, total;2013Q4;S Services;5228;6406;S;Services;2013
Foreign countries, total;2014Q1;G Goods;13163;13096;G;Goods;2014
Foreign countries, total;2014Q1;S Services;4592;5486;S;Services;2014
Foreign countries, total;2014Q2;G Goods;14516;14127;G;Goods;2014
Foreign countries, total;2014Q2;S Services;4655;5817;S;Services;2014
Foreign countries, total;2014Q3;G Goods;13947;13674;G;Goods;2014
Foreign countries, total;2014Q3;S Services;5121;5743;S;Services;2014
Foreign countries, total;2014Q4;G Goods;14435;13749;G;Goods;2014
Foreign countries, total;2014Q4;S Services;5051;6166;S;Services;2014
Foreign countries, total;2015Q1;G Goods;12686;12814;G;Goods;2015
Foreign countries, total;2015Q1;S Services;5316;6081;S;Services;2015
Foreign countries, total;2015Q2;G Goods;13945;12291;G;Goods;2015
Foreign countries, total;2015Q2;S Services;5197;6250;S;Services;2015
Foreign countries, total;2015Q3;G Goods;12877;12678;G;Goods;2015
Foreign countries, total;2015Q3;S Services;5390;5858;S;Services;2015
Foreign countries, total;2015Q4;G Goods;13506;13320;G;Goods;2015
Foreign countries, total;2015Q4;S Services;5930;6755;S;Services;2015
Foreign countries, total;2016Q1;G Goods;12180;12412;G;Goods;2016
Foreign countries, total;2016Q1;S Services;5697;6111;S;Services;2016
Foreign countries, total;2016Q2;G Goods;13807;13341;G;Goods;2016
Foreign countries, total;2016Q2;S Services;5489;6419;S;Services;2016
Foreign countries, total;2016Q3;G Goods;13037;12912;G;Goods;2016
Foreign countries, total;2016Q3;S Services;5639;6281;S;Services;2016
Foreign countries, total;2016Q4;G Goods;13699;14034;G;Goods;2016
Foreign countries, total;2016Q4;S Services;6169;6988;S;Services;2016
Foreign countries, total;2017Q1;G Goods;14358;14036;G;Goods;2017
Foreign countries, total;2017Q1;S Services;6031;6379;S;Services;2017
Foreign countries, total;2017Q2;G Goods;15239;14710;G;Goods;2017
Foreign countries, total;2017Q2;S Services;6198;6752;S;Services;2017
Foreign countries, total;2017Q3;G Goods;14746;14265;G;Goods;2017
Foreign countries, total;2017Q3;S Services;6176;6572;S;Services;2017
Foreign countries, total;2017Q4;G Goods;15113;14945;G;Goods;2017
Foreign countries, total;2017Q4;S Services;7111;7211;S;Services;2017
Foreign countries, total;2018Q1;G Goods;15245;15210;G;Goods;2018
Foreign countries, total;2018Q1;S Services;6346;6955;S;Services;2018
Foreign countries, total;2018Q2;G Goods;16192;15465;G;Goods;2018
Foreign countries, total;2018Q2;S Services;6352;7478;S;Services;2018
Foreign countries, total;2018Q3;G Goods;15286;15613;G;Goods;2018
Foreign countries, total;2018Q3;S Services;6705;7309;S;Services;2018
Foreign countries, total;2018Q4;G Goods;16203;16376;G;Goods;2018
Foreign countries, total;2018Q4;S Services;7483;8336;S;Services;2018
Foreign countries, total;2019Q1;G Goods;16256;15232;G;Goods;2019
Foreign countries, total;2019Q1;S Services;7077;7927;S;Services;2019
Foreign countries, total;2019Q2;G Goods;16114;16035;G;Goods;2019
Foreign countries, total;2019Q2;S Services;7689;8026;S;Services;2019
Foreign countries, total;2019Q3;G Goods;15435;15762;G;Goods;2019
Foreign countries, total;2019Q3;S Services;7781;7903;S;Services;2019
Foreign countries, total;2019Q4;G Goods;17123;15596;G;Goods;2019
Foreign countries, total;2019Q4;S Services;8187;8800;S;Services;2019
Foreign countries, total;2020Q1;G Goods;14829;15014;G;Goods;2020
Foreign countries, total;2020Q1;S Services;6751;7963;S;Services;2020
Foreign countries, total;2020Q2;G Goods;13967;13042;G;Goods;2020
Foreign countries, total;2020Q2;S Services;5643;6443;S;Services;2020
Foreign countries, total;2020Q3;G Goods;14138;14166;G;Goods;2020
Foreign countries, total;2020Q3;S Services;5631;6347;S;Services;2020
Foreign countries, total;2020Q4;G Goods;16755;14531;G;Goods;2020
Foreign countries, total;2020Q4;S Services;7743;7154;S;Services;2020
Foreign countries, total;2021Q1;G Goods;15295;15064;G;Goods;2021
Foreign countries, total;2021Q1;S Services;5575;6569;S;Services;2021
Foreign countries, total;2021Q2;G Goods;16855;16076;G;Goods;2021
Foreign countries, total;2021Q2;S Services;6192;6946;S;Services;2021
Foreign countries, total;2021Q3;G Goods;18096;17317;G;Goods;2021
Foreign countries, total;2021Q3;S Services;6706;7302;S;Services;2021
Foreign countries, total;2021Q4*;G Goods;20271;19383;G;Goods;2021
Foreign countries, total;2021Q4*;S Services;9071;8915;S;Services;2021
